id,instance,teams,streak_limit,no_repeat,pickle_file,beam_width,dead_teams_check,randomized_team_order,relative_sigma,first_k_layers_noisy,shortest_path,time_elapsed
8a74654456e7ab5396f7d75db967f0c5_a6fca0dc-f066-4f78-b539-3dcd560e6707,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,1,True,True,0.0,-1,9223372036854775807,0.033849900000000016
8a74654456e7ab5396f7d75db967f0c5_0f0a1222-9c0d-45af-9258-7360275f2f7d,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,1,True,True,0.0,10,9223372036854775807,0.032112999999999975
8a74654456e7ab5396f7d75db967f0c5_a9b9163d-b847-414e-a1f7-3b8f247cd379,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,1,True,True,0.0,90,9223372036854775807,0.032608600000000015
8a74654456e7ab5396f7d75db967f0c5_21e7b97e-6e2b-42ea-8ca4-eaf53e5dcfd4,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,1,True,True,0.1,-1,9223372036854775807,0.035270899999999994
8a74654456e7ab5396f7d75db967f0c5_ae438c3c-55e9-4d47-8a62-8a467b9c0957,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,1,True,True,0.1,10,9223372036854775807,0.030366199999999982
8a74654456e7ab5396f7d75db967f0c5_2e2bf88d-0ffc-4767-ad92-1eca1dca4108,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,1,True,True,0.1,90,9223372036854775807,0.0313417
8a74654456e7ab5396f7d75db967f0c5_17dcbccf-1ab1-4e3a-a33b-8f1d025e71e1,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,1,True,True,0.01,-1,9223372036854775807,0.034103599999999984
8a74654456e7ab5396f7d75db967f0c5_686790d0-38ce-4acd-86bd-4c4d658eb149,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,1,True,True,0.01,10,9223372036854775807,0.03217519999999999
8a74654456e7ab5396f7d75db967f0c5_016e3d40-7441-4635-8202-c5e490417a30,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,1,True,True,0.01,90,9223372036854775807,0.029778199999999977
8a74654456e7ab5396f7d75db967f0c5_fd5100e4-e75e-49d1-91ae-e2c416aa67d6,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,1,True,True,0.001,-1,9223372036854775807,0.033190899999999995
8a74654456e7ab5396f7d75db967f0c5_e5d59b3f-2f21-4eac-80ae-9ba766f7407b,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,1,True,True,0.001,10,9223372036854775807,0.03299840000000001
8a74654456e7ab5396f7d75db967f0c5_16448f41-5294-4378-a0ea-6c9a1b3aed50,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,1,True,True,0.001,90,9223372036854775807,0.03023479999999998
8a74654456e7ab5396f7d75db967f0c5_eb1e991c-30d0-4a67-9830-79cba2f20fd4,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,1,True,True,0.0001,-1,9223372036854775807,0.03147999999999998
8a74654456e7ab5396f7d75db967f0c5_3fbe33c0-6808-4dc6-97af-914ed4b1b647,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,1,True,True,0.0001,10,9223372036854775807,0.032170299999999985
8a74654456e7ab5396f7d75db967f0c5_7d2aaadd-19e5-4a3c-ad55-34cbe7637f6b,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,1,True,True,0.0001,90,9223372036854775807,0.03794339999999999
8a74654456e7ab5396f7d75db967f0c5_a2ec548a-a6b9-4a54-9a7f-bab75b2fe452,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,10,True,True,0.0,-1,9223372036854775807,0.2585545
8a74654456e7ab5396f7d75db967f0c5_222a28f4-b522-484a-80ad-a6b0fdbfaa5d,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,10,True,True,0.0,10,9223372036854775807,0.25772719999999993
8a74654456e7ab5396f7d75db967f0c5_3f3886dc-3a73-4b41-99f9-5234275444b6,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,10,True,True,0.0,90,9223372036854775807,0.2641534
8a74654456e7ab5396f7d75db967f0c5_f2f73617-c7a2-4619-b462-26be1edabf15,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,10,True,True,0.1,-1,9223372036854775807,0.2892068
8a74654456e7ab5396f7d75db967f0c5_13d80aae-8f82-4bf3-a8c7-b8db630102b4,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,10,True,True,0.1,10,9223372036854775807,0.2663641
8a74654456e7ab5396f7d75db967f0c5_6e918f8f-7286-4834-8662-6bb8006cdbbc,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,10,True,True,0.1,90,9223372036854775807,0.2990844
8a74654456e7ab5396f7d75db967f0c5_e17b34d1-8f93-4ba6-bb5f-52a673d8d946,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,10,True,True,0.01,-1,9223372036854775807,0.27657139999999997
8a74654456e7ab5396f7d75db967f0c5_63c6446b-fefa-49ae-97a8-8dafd6305ce2,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,10,True,True,0.01,10,9223372036854775807,0.275003
8a74654456e7ab5396f7d75db967f0c5_7a9eba3a-33d1-493b-8e0c-a920e0131c86,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,10,True,True,0.01,90,9223372036854775807,0.3063677
8a74654456e7ab5396f7d75db967f0c5_f62ee676-fb85-4aa2-a471-e8154d7e0fc6,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,10,True,True,0.001,-1,9223372036854775807,0.279169
8a74654456e7ab5396f7d75db967f0c5_469d2700-eeb9-4441-8997-d23271366d23,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,10,True,True,0.001,10,9223372036854775807,0.2767263
8a74654456e7ab5396f7d75db967f0c5_d9e9b9e3-ec36-4f3f-8546-f7b42d189b8e,insts/NL/nl10.txt,10,1,True,data/nl10_sl1_cvrp.pkl.bz2,10,True,True,0.001,90,9223372036854775807,0.29376860000000005
