id,instance,teams,streak_limit,no_repeat,pickle_file,beam_width,dead_teams_check,randomized_team_order,relative_sigma,first_k_layers_noisy,shortest_path,time_elapsed
50fa3b03198a8431131fa339dacc1a7f_cfe85f16-da28-42c9-aa5f-174b54b64554,insts/NL/nl12.txt,12,1,True,data/nl12_sl1_cvrp.pkl.bz2,1,True,True,0.0,-1,9223372036854775807,0.053080000000000016
50fa3b03198a8431131fa339dacc1a7f_2ea69e0a-cad9-4187-8f13-7fe1f6297919,insts/NL/nl12.txt,12,1,True,data/nl12_sl1_cvrp.pkl.bz2,1,True,True,0.0,66,9223372036854775807,0.06413870000000002
50fa3b03198a8431131fa339dacc1a7f_e557f993-3eda-4561-8f25-83aec4d0fc79,insts/NL/nl12.txt,12,3,True,data/nl12_sl3_cvrp.pkl.bz2,1,True,True,0.001,66,9223372036854775807,0.6504871999999999
50fa3b03198a8431131fa339dacc1a7f_7af3fb6f-cb2f-4b08-82e6-5ebe8a04dc20,insts/NL/nl12.txt,12,1,True,data/nl12_sl1_cvrp.pkl.bz2,1,True,True,0.0,132,9223372036854775807,0.058326799999999984
50fa3b03198a8431131fa339dacc1a7f_5b8f0f4d-3e60-4298-aea0-b106d4e0425b,insts/NL/nl12.txt,12,3,True,data/nl12_sl3_cvrp.pkl.bz2,1,True,True,0.001,132,9223372036854775807,0.5005881999999999
50fa3b03198a8431131fa339dacc1a7f_6c192769-e9a2-4ee8-9a5e-a97818649944,insts/NL/nl12.txt,12,1,True,data/nl12_sl1_cvrp.pkl.bz2,1,True,True,0.1,-1,9223372036854775807,0.14393929999999994
50fa3b03198a8431131fa339dacc1a7f_80559695-72b6-4a7f-a54a-88418dac5663,insts/NL/nl12.txt,12,3,True,data/nl12_sl3_cvrp.pkl.bz2,1,True,True,0.0001,-1,9223372036854775807,0.4391012
50fa3b03198a8431131fa339dacc1a7f_4af0c74e-b750-4e50-9bb5-ded943696982,insts/NL/nl12.txt,12,1,True,data/nl12_sl1_cvrp.pkl.bz2,1,True,True,0.1,66,9223372036854775807,0.14060520000000004
50fa3b03198a8431131fa339dacc1a7f_f6a70a89-1299-4ad5-98fb-d18eee604e23,insts/NL/nl12.txt,12,3,True,data/nl12_sl3_cvrp.pkl.bz2,1,True,True,0.0001,66,9223372036854775807,0.369121
50fa3b03198a8431131fa339dacc1a7f_8c3efc89-78d0-4cbe-9f37-cd805d8ad6a1,insts/NL/nl12.txt,12,2,True,data/nl12_sl2_cvrph.pkl.bz2,10,True,True,0.0001,132,9223372036854775807,4.0623569999999996
50fa3b03198a8431131fa339dacc1a7f_c6da7d90-73b8-41d2-81ee-7be2415de229,insts/NL/nl12.txt,12,1,True,data/nl12_sl1_cvrp.pkl.bz2,1,True,True,0.1,132,9223372036854775807,0.1266794
50fa3b03198a8431131fa339dacc1a7f_6291c4b2-b78b-4a56-84d8-7552cab932da,insts/NL/nl12.txt,12,3,True,data/nl12_sl3_cvrp.pkl.bz2,1,True,True,0.0001,132,9223372036854775807,0.43066920000000003
50fa3b03198a8431131fa339dacc1a7f_f0ca6d40-2b52-46d6-9590-0689b659576e,insts/NL/nl12.txt,12,1,True,data/nl12_sl1_cvrp.pkl.bz2,1,True,True,0.01,-1,9223372036854775807,0.12627719999999998
f29652494deaeafa6fe68d1feb83543b_cc67f20f-2261-401d-b88b-d9b46661269e,insts/NL/nl14.txt,14,2,True,data/nl14_sl2_cvrph.pkl.bz2,1,True,True,0.0,91,9223372036854775807,5.7494653
